from_node,to_node,distance_km,U_food,U_water,origin_tier,origin_sea_rating,dest_sea_rating,vessel_type,n_assets
9,8,3612.7,2778000,100050.0,PPL-2,3,3,TAKE,1
9,10,2135.4,2778000,100050.0,PPL-2,3,3,TAKE,1
9,11,2647.2,2778000,100050.0,PPL-2,3,3,TAKE,1
9,29,3000.1,2778000,100050.0,PPL-2,3,3,TAKE,1
9,38,3898.6,2778000,100050.0,PPL-2,3,3,TAKE,1
10,6,1164.5,2778000,100050.0,PPL-2,3,3,TAKE,1
10,7,654.4,2778000,100050.0,PPL-2,3,3,TAKE,1
10,8,1601.7,2778000,100050.0,PPL-2,3,3,TAKE,1
10,9,2135.4,2778000,100050.0,PPL-2,3,3,TAKE,1
10,11,2608.5,2778000,100050.0,PPL-2,3,3,TAKE,1
10,17,4346.7,2778000,100050.0,PPL-2,3,3,TAKE,1
11,6,3143.6,2778000,100050.0,PPL-2,3,3,TAKE,1
11,7,3139.5,2778000,100050.0,PPL-2,3,3,TAKE,1
11,8,2845.8,2778000,100050.0,PPL-2,3,3,TAKE,1
11,9,2647.2,2778000,100050.0,PPL-2,3,3,TAKE,1
11,10,2608.5,2778000,100050.0,PPL-2,3,3,TAKE,1
11,23,4194.2,2778000,100050.0,PPL-2,3,3,TAKE,1
11,24,2226.8,2778000,100050.0,PPL-2,3,3,TAKE,1
11,27,3183.6,2778000,100050.0,PPL-2,3,3,TAKE,1
11,29,2723.9,2778000,100050.0,PPL-2,3,3,TAKE,1
11,38,3354.8,2778000,100050.0,PPL-2,3,3,TAKE,1
11,39,4020.4,2778000,100050.0,PPL-2,3,3,TAKE,1
11,45,4268.7,2778000,100050.0,PPL-2,3,3,TAKE,1
11,47,3252.6,2778000,100050.0,PPL-2,3,3,TAKE,1
17,6,3218.9,0,0.0,None,3,3,none,0
17,7,3915.7,0,0.0,None,3,3,none,0
17,8,2799.4,0,0.0,None,3,3,none,0
17,10,4346.7,0,0.0,None,3,3,none,0
17,18,1151.1,0,0.0,None,3,3,none,0
17,19,744.3,0,0.0,None,3,3,none,0
17,20,2899.8,0,0.0,None,3,3,none,0
17,23,2318.5,0,0.0,None,3,3,none,0
18,6,4339.7,0,0.0,None,3,3,none,0
18,8,3949.1,0,0.0,None,3,3,none,0
18,17,1151.1,0,0.0,None,3,3,none,0
18,19,887.1,0,0.0,None,3,3,none,0
18,20,2973.5,0,0.0,None,3,3,none,0
18,23,2770.0,0,0.0,None,3,3,none,0
18,42,4173.7,0,0.0,None,3,3,none,0
19,6,3584.8,0,0.0,None,3,3,none,0
19,7,4240.5,0,0.0,None,3,3,none,0
19,8,3290.7,0,0.0,None,3,3,none,0
