from_node,to_node,distance_km,U_food,U_water,origin_tier,origin_air_rating,dest_air_rating,aircraft_type,n_assets,n_sorties_per_window
3,20,4947.7,570416,20543.600000000002,PPL-2,3,2,C17,2,2
3,21,5591.5,570416,20543.600000000002,PPL-2,3,2,C17,2,2
3,22,4330.3,570416,20543.600000000002,PPL-2,3,2,C17,2,2
3,23,5463.5,570416,20543.600000000002,PPL-2,3,2,C17,2,2
3,24,4014.6,570416,20543.600000000002,PPL-2,3,2,C17,2,2
3,25,5056.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
3,26,4268.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
3,27,3707.8,570416,20543.600000000002,PPL-2,3,3,C17,2,2
3,28,4004.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
3,31,4963.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
3,32,4800.3,570416,20543.600000000002,PPL-2,3,3,C17,2,2
3,33,5533.2,570416,20543.600000000002,PPL-2,3,3,C17,2,2
3,34,4900.0,570416,20543.600000000002,PPL-2,3,3,C17,2,2
3,35,4100.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
3,36,4577.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
3,37,4949.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
3,38,5935.0,570416,20543.600000000002,PPL-2,3,3,C17,2,2
3,39,4339.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
3,40,5778.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
3,43,5074.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
3,44,5148.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
3,45,2694.8,570416,20543.600000000002,PPL-2,3,3,C17,2,2
3,46,1373.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
3,47,3299.3,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,1,872.3,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,2,486.0,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,3,1419.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,5,623.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,11,5096.8,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,15,5083.0,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,16,5701.5,570416,20543.600000000002,PPL-2,3,2,C17,2,2
4,20,5130.4,570416,20543.600000000002,PPL-2,3,2,C17,2,2
4,21,5695.7,570416,20543.600000000002,PPL-2,3,2,C17,2,2
4,22,4110.5,570416,20543.600000000002,PPL-2,3,2,C17,2,2
4,23,5371.9,570416,20543.600000000002,PPL-2,3,2,C17,2,2
4,24,2936.5,570416,20543.600000000002,PPL-2,3,2,C17,2,2
4,25,4147.5,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,26,2967.2,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,27,2309.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,28,2662.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,29,5057.5,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,30,4945.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,31,3557.0,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,32,3396.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,33,4116.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,34,3497.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,35,2790.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,36,3261.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
4,37,3559.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
