scenario_id,objective,shortfall_cost,deficit_cost,aps_locations,num_q_positive,total_flow,status,computational_time,epicenter,severity,num_APS,base_L,redun,def_weight,short_weight
1,0,0,0,"[1, 6, 15, 24, 41]",4,26318352,2,8.993146181,10,2.212513348,5,3,1,100,1
1,0,0,0,"[1, 6, 15, 24, 41]",4,26318352,2,8.981217861,10,2.212513348,5,3,1,1000,1
1,0,0,0,"[1, 6, 15, 24, 41]",4,26318352,2,9.071172953,10,2.212513348,5,3,2,1,1
1,0,0,0,"[1, 6, 15, 24, 41]",4,26318352,2,9.083561897,10,2.212513348,5,3,2,100,1
1,0,0,0,"[1, 6, 15, 24, 41]",4,26318352,2,9.916651011,10,2.212513348,5,3,2,1000,1
1,0,0,0,"[1, 6, 15, 24, 41]",4,26318352,2,9.109514952,10,2.212513348,5,3,3,1,1
1,0,0,0,"[1, 6, 15, 24, 41]",4,26318352,2,9.167045116,10,2.212513348,5,3,3,100,1
1,0,0,0,"[1, 6, 15, 24, 41]",4,26318352,2,9.135008097,10,2.212513348,5,3,3,1000,1
1,0,0,0,"[1, 6, 15, 24, 41]",4,26318352,2,9.028527021,10,2.212513348,5,3,4,1,1
1,0,0,0,"[1, 6, 15, 24, 41]",4,26318352,2,9.13788414,10,2.212513348,5,3,4,100,1
1,0,0,0,"[1, 6, 15, 24, 41]",4,26318352,2,9.143151045,10,2.212513348,5,3,4,1000,1
1,0,0,0,"[1, 6, 15, 24, 41]",4,26318352,2,9.062855005,10,2.212513348,5,4,3,1,1
1,0,0,0,"[1, 6, 15, 24, 41]",4,26318352,2,9.102078915,10,2.212513348,5,4,3,100,1
1,0,0,0,"[1, 6, 15, 24, 41]",4,26318352,2,9.128157854,10,2.212513348,5,4,3,1000,1
1,0,0,0,"[1, 6, 15, 24, 31, 41]",4,26318352,2,8.679636002,10,2.212513348,6,3,3,1,1
1,0,0,0,"[1, 6, 15, 24, 31, 41]",4,26318352,2,8.734333038,10,2.212513348,6,3,3,100,1
1,0,0,0,"[1, 6, 15, 24, 31, 41]",4,26318352,2,8.769325018,10,2.212513348,6,3,3,1000,1
2,16334414,0,16334414,"[14, 24, 41]",6,21310902,2,7.834330082,16,2.985009969,3,3,3,1,1
2,16335610,16334410,1200,"[14, 24, 41]",6,54143860,2,8.867458105,16,2.985009969,3,3,3,100,1
2,16334420,16334420,0,"[14, 24, 41]",6,56223708,2,8.693814039,16,2.985009969,3,3,3,1000,1
2,0,0,0,"[1, 6, 14, 41]",7,39125238,2,15.41880584,16,2.985009969,4,3,3,1,1
2,0,0,0,"[1, 6, 24, 41]",6,5244414,2,14.19762683,16,2.985009969,4,3,3,100,1
2,0,0,0,"[1, 6, 24, 41]",6,5244414,2,14.14043403,16,2.985009969,4,3,3,1000,1
2,0,0,0,"[1, 3, 14, 24, 41]",6,17204121,2,8.022610903,16,2.985009969,5,1,3,1,1
2,0,0,0,"[1, 3, 14, 24, 41]",9,13713132,2,7.657015085,16,2.985009969,5,1,3,100,1
2,0,0,0,"[1, 3, 14, 24, 41]",8,17174707,2,8.223207951,16,2.985009969,5,1,3,1000,1
2,0,0,0,"[1, 3, 14, 24, 41]",6,17204121,2,8.23593998,16,2.985009969,5,2,3,1,1
2,0,0,0,"[1, 3, 14, 24, 41]",9,13713132,2,7.686031103,16,2.985009969,5,2,3,100,1
2,0,0,0,"[1, 3, 14, 24, 41]",8,17174707,2,8.42066884,16,2.985009969,5,2,3,1000,1
2,0,0,0,"[1, 3, 14, 24, 41]",6,17204121,2,8.10789299,16,2.985009969,5,3,1,1,1
2,0,0,0,"[1, 3, 14, 24, 41]",9,13713132,2,7.592091084,16,2.985009969,5,3,1,100,1
2,0,0,0,"[1, 3, 14, 24, 41]",8,17174707,2,8.12054801,16,2.985009969,5,3,1,1000,1
2,0,0,0,"[1, 3, 14, 24, 41]",6,17204121,2,8.120054007,16,2.985009969,5,3,2,1,1
2,0,0,0,"[1, 3, 14, 24, 41]",9,13713132,2,7.726794958,16,2.985009969,5,3,2,100,1
2,0,0,0,"[1, 3, 14, 24, 41]",8,17174707,2,8.200348377,16,2.985009969,5,3,2,1000,1
